% EtOH,d18O/ per mil,dD/ per mil, Treatment
5,-6.77475,-41.8585,True Water Reference
4,-6.77475,-41.8585,True Water Reference
3,-6.77475,-41.8585,True Water Reference
2,-6.77475,-41.8585,True Water Reference
1,-6.77475,-41.8585,True Water Reference
0,-6.77475,-41.8585,True Water Reference
4.84,-7.18925,-44.902,Untreated
4.26,-7.10175,-44.45575,Untreated
2.86,-6.97875,-43.663,Untreated
1.83,-6.938,-42.97775,Untreated
0.81,-6.862,-42.527,Untreated
0,-6.77475,-41.8585,Untreated
4.84,-7.27575,-45.445,AC
4.26,-7.11175,-44.703,AC
2.86,-7.035,-44.1125,AC
1.83,-6.97025,-43.3625,AC
0.81,-6.75575,-42.427,AC
0,-6.83525,-42.265,AC
5,-6.79125,-42.775,SPE
4,-6.69425,-42.53175,SPE
3,-6.56,-41.627,SPE
2,-6.64625,-41.78175,SPE
1,-6.618,-41.65325,SPE
0,-6.72025,-41.58675,SPE
5,-9.89725,-61.6965,MCM-on
4,-9.20925,-57.705,MCM-on
3,-8.751,-53.847,MCM-on
2,-8.08525,-49.468,MCM-on
1,-7.51025,-45.749,MCM-on
0,-6.63525,-41.6845,MCM-on
