HERA d18O,HERA dD,HERA d18O true,HERA dD true
-2.974,-9.8745,-2.8,-9.5
-3.39675,-10.8375,,
-2.99775,-10.628,,
-2.83475,-10.55475,,
-3.01975,-9.884,,
-2.95825,-9.86675,,
-2.82925,-9.833,,
-2.865,-9.72075,,
-2.86725,-9.6995,,
-2.87725,-9.6935,,
-2.86825,-9.66025,,
-2.93825,-9.66,,
-2.88625,-9.6455,,
-2.817,-9.62625,,
-2.8535,-9.61225,,
-2.81575,-9.5915,,
-2.9285,-9.573,,
-2.914,-9.5675,,
-2.862,-9.5545,,
-2.86225,-9.55175,,
-2.88825,-9.54325,,
-2.888,-9.4965,,
-2.8545,-9.48925,,
-2.88725,-9.4455,,
-2.83925,-9.42975,,
-2.89,-9.41325,,
-2.792,-9.35225,,
-2.8505,-9.25525,,
-2.81,-9.24825,,
-2.853,-9.2285,,
-2.76675,-9.19875,,
-2.84075,-9.19225,,
-2.848,-9.12125,,
-2.92325,-9.12,,
-2.848,-9.1175,,
-2.8065,-9.10375,,
-2.79275,-9.0835,,
-2.7945,-9.08175,,
-2.831,-9.02825,,
-2.79425,-9.00875,,
-2.841,-8.93975,,
-2.7105,-8.88825,,
-2.7645,-8.831,,
-2.763,-8.7715,,
-2.763,-8.69575,,
-2.8895,-8.55525,,
-2.83225,-8.544,,
-2.7495,-8.4765,,
-2.72825,-8.38425,,
-2.81725,-8.35075,,
-2.66,-8.18325,,
-2.679,-7.926,,
-2.541,-7.59575,,
-2.4955,-7.40925,,
-2.357,-7.2425,,
