wn_meoh,abs_meoh,abs10e6_meoh,wn_etoh,abs_etoh,abs10e6_etoh,wn_h2o,abs_h2o,abs10e6_h2o,wn_hdo,abs_hdo,abs10e6_hdo,wn_facid,abs_facid,abs10e6_facid
7210.007243,7.85E-06,7.85266,7209.988939,2.38E-06,2.37691,7210.02106,1.01E-07,0.100568,7210.02106,-2.04E-07,-0.203679,7200.008527,9.02E-06,9.018485
7209.946979,7.56E-06,7.55856,7209.928675,2.34E-06,2.33634,7209.960795,-5.30E-08,-0.0530273,7209.960795,-3.73E-07,-0.372817,7199.948262,-9.83E-07,-0.9829497
7209.886714,6.74E-06,6.73986,7209.86841,1.95E-06,1.94834,7209.90053,3.03E-07,0.303107,7209.90053,-3.45E-08,-0.0344776,7199.887997,-9.30E-08,-0.09299819
7209.826449,6.71E-06,6.71125,7209.808146,1.60E-06,1.60317,7209.840265,8.48E-08,0.0848417,7209.840265,1.18E-07,0.117624,7199.827733,1.04E-05,10.42772
7209.766185,6.30E-06,6.29594,7209.747881,2.34E-06,2.33853,7209.780001,2.50E-07,0.249939,7209.780001,1.34E-07,0.134069,7199.767468,-2.41E-06,-2.4073
7209.70592,6.42E-06,6.42197,7209.687617,2.67E-06,2.67295,7209.719736,4.50E-07,0.4504,7209.719736,3.39E-08,0.0338674,7199.707203,1.55E-06,1.547977
7209.645655,5.65E-06,5.64551,7209.627352,2.02E-06,2.02479,7209.659471,4.81E-07,0.481447,7209.659471,-2.36E-08,-0.023593,7199.646938,5.37E-06,5.369797
7209.585391,6.93E-06,6.93403,7209.567087,2.20E-06,2.20363,7209.599206,4.93E-07,0.492993,7209.599206,1.94E-07,0.194477,7199.586674,5.01E-06,5.010231
7209.525126,7.34E-06,7.34273,7209.506823,2.46E-06,2.45521,7209.538941,8.90E-07,0.889859,7209.538941,-2.81E-08,-0.0281308,7199.526409,-4.58E-06,-4.581378
7209.464861,6.88E-06,6.87845,7209.446558,2.18E-06,2.18299,7209.478677,1.02E-06,1.02283,7209.478677,-1.45E-07,-0.145185,7199.466144,1.03E-05,10.31501
7209.404597,7.14E-06,7.13929,7209.386294,1.96E-06,1.95936,7209.418412,5.53E-07,0.55333,7209.418412,3.99E-07,0.399121,7199.405879,1.22E-05,12.15943
7209.344332,6.88E-06,6.87924,7209.326029,2.05E-06,2.05312,7209.358147,3.83E-07,0.383337,7209.358147,2.31E-07,0.230828,7199.345615,-1.07E-06,-1.067713
7209.284067,6.81E-06,6.81085,7209.265765,2.53E-06,2.53385,7209.297882,3.46E-07,0.345946,7209.297882,-1.14E-08,-0.0114179,7199.28535,-1.10E-05,-10.95029
7209.223802,6.61E-06,6.61353,7209.2055,2.24E-06,2.24137,7209.237617,1.24E-07,0.123798,7209.237617,1.04E-07,0.104403,7199.225085,-1.82E-10,-0.000181506
